Longitude_rel_cm,Latitude_rel_cm,start_depth,Sulfate,observed,dist_to_nearest,coords_of_nearest
15,60,0,,0,120.0,"(15, 180, 0)"
15,60,1,,0,120.0,"(15, 180, 1)"
15,60,2,,0,120.0,"(15, 180, 2)"
15,60,3,,0,120.0,"(15, 180, 3)"
15,60,4,,0,120.0,"(15, 180, 4)"
15,60,5,,0,120.0,"(15, 180, 5)"
15,60,6,,0,120.0,"(15, 180, 6)"
15,60,7,,0,120.0,"(15, 180, 7)"
15,60,8,,0,120.0,"(15, 180, 8)"
15,60,9,,0,120.0,"(15, 180, 9)"
15,60,10,,0,120.0,"(15, 180, 10)"
15,60,11,,0,120.0,"(15, 180, 11)"
15,60,12,,0,120.0,"(15, 180, 12)"
15,60,13,,0,120.0,"(15, 180, 13)"
15,75,0,,0,105.0,"(15, 180, 0)"
15,75,1,,0,105.0,"(15, 180, 1)"
15,75,2,,0,105.0,"(15, 180, 2)"
15,75,3,,0,105.0,"(15, 180, 3)"
15,75,4,,0,105.0,"(15, 180, 4)"
15,75,5,,0,105.0,"(15, 180, 5)"
15,75,6,,0,105.0,"(15, 180, 6)"
15,75,7,,0,105.0,"(15, 180, 7)"
15,75,8,,0,105.0,"(15, 180, 8)"
15,75,9,,0,105.0,"(15, 180, 9)"
15,75,10,,0,105.0,"(15, 180, 10)"
15,75,11,,0,105.0,"(15, 180, 11)"
15,75,12,,0,105.0,"(15, 180, 12)"
15,75,13,,0,105.0,"(15, 180, 13)"
15,90,0,,0,90.0,"(15, 180, 0)"
15,90,1,,0,90.0,"(15, 180, 1)"
15,90,2,,0,90.0,"(15, 180, 2)"
15,90,3,,0,90.0,"(15, 180, 3)"
15,90,4,,0,90.0,"(15, 180, 4)"
15,90,5,,0,90.0,"(15, 180, 5)"
15,90,6,,0,90.0,"(15, 180, 6)"
15,90,7,,0,90.0,"(15, 180, 7)"
15,90,8,,0,90.0,"(15, 180, 8)"
15,90,9,,0,90.0,"(15, 180, 9)"
15,90,10,,0,90.0,"(15, 180, 10)"
15,90,11,,0,90.0,"(15, 180, 11)"
15,90,12,,0,90.0,"(15, 180, 12)"
15,90,13,,0,90.0,"(15, 180, 13)"
15,105,0,,0,75.0,"(15, 180, 0)"
15,105,1,,0,75.0,"(15, 180, 1)"
15,105,2,,0,75.0,"(15, 180, 2)"
15,105,3,,0,75.0,"(15, 180, 3)"
15,105,4,,0,75.0,"(15, 180, 4)"
15,105,5,,0,75.0,"(15, 180, 5)"
15,105,6,,0,75.0,"(15, 180, 6)"
15,105,7,,0,75.0,"(15, 180, 7)"
15,105,8,,0,75.0,"(15, 180, 8)"
15,105,9,,0,75.0,"(15, 180, 9)"
15,105,10,,0,75.0,"(15, 180, 10)"
15,105,11,,0,75.0,"(15, 180, 11)"
15,105,12,,0,75.0,"(15, 180, 12)"
15,105,13,,0,75.0,"(15, 180, 13)"
15,120,0,,0,60.0,"(15, 180, 0)"
15,120,1,,0,60.0,"(15, 180, 1)"
15,120,2,,0,60.0,"(15, 180, 2)"
15,120,3,,0,60.0,"(15, 180, 3)"
15,120,4,,0,60.0,"(15, 180, 4)"
15,120,5,,0,60.0,"(15, 180, 5)"
15,120,6,,0,60.0,"(15, 180, 6)"
15,120,7,,0,60.0,"(15, 180, 7)"
15,120,8,,0,60.0,"(15, 180, 8)"
15,120,9,,0,60.0,"(15, 180, 9)"
15,120,10,,0,60.0,"(15, 180, 10)"
15,120,11,,0,60.0,"(15, 180, 11)"
15,120,12,,0,60.0,"(15, 180, 12)"
15,120,13,,0,60.0,"(15, 180, 13)"
15,135,0,,0,45.0,"(15, 180, 0)"
15,135,1,,0,45.0,"(15, 180, 1)"
15,135,2,,0,45.0,"(15, 180, 2)"
15,135,3,,0,45.0,"(15, 180, 3)"
15,135,4,,0,45.0,"(15, 180, 4)"
15,135,5,,0,45.0,"(15, 180, 5)"
15,135,6,,0,45.0,"(15, 180, 6)"
15,135,7,,0,45.0,"(15, 180, 7)"
15,135,8,,0,45.0,"(15, 180, 8)"
15,135,9,,0,45.0,"(15, 180, 9)"
15,135,10,,0,45.0,"(15, 180, 10)"
15,135,11,,0,45.0,"(15, 180, 11)"
15,135,12,,0,45.0,"(15, 180, 12)"
15,135,13,,0,45.0,"(15, 180, 13)"
15,150,0,,0,30.0,"(15, 180, 0)"
15,150,1,,0,30.0,"(15, 180, 1)"
15,150,2,,0,30.0,"(15, 180, 2)"
15,150,3,,0,30.0,"(15, 180, 3)"
15,150,4,,0,30.0,"(15, 180, 4)"
15,150,5,,0,30.0,"(15, 180, 5)"
15,150,6,,0,30.0,"(15, 180, 6)"
15,150,7,,0,30.0,"(15, 180, 7)"
15,150,8,,0,30.0,"(15, 180, 8)"
15,150,9,,0,30.0,"(15, 180, 9)"
15,150,10,,0,30.0,"(15, 180, 10)"
15,150,11,,0,30.0,"(15, 180, 11)"
15,150,12,,0,30.0,"(15, 180, 12)"
15,150,13,,0,30.0,"(15, 180, 13)"
15,165,0,,0,15.0,"(15, 180, 0)"
15,165,1,,0,15.0,"(15, 180, 1)"
15,165,2,,0,15.0,"(15, 180, 2)"
15,165,3,,0,15.0,"(15, 180, 3)"
15,165,4,,0,15.0,"(15, 180, 4)"
15,165,5,,0,15.0,"(15, 180, 5)"
15,165,6,,0,15.0,"(15, 180, 6)"
15,165,7,,0,15.0,"(15, 180, 7)"
15,165,8,,0,15.0,"(15, 180, 8)"
15,165,9,,0,15.0,"(15, 180, 9)"
15,165,10,,0,15.0,"(15, 180, 10)"
15,165,11,,0,15.0,"(15, 180, 11)"
15,165,12,,0,15.0,"(15, 180, 12)"
15,165,13,,0,15.0,"(15, 180, 13)"
15,180,0,20.5577,1,0.0,"(15, 180, 0)"
15,180,1,18.7972,1,0.0,"(15, 180, 1)"
15,180,2,14.4674,1,0.0,"(15, 180, 2)"
15,180,3,5.9476,1,0.0,"(15, 180, 3)"
15,180,4,2.7237,1,0.0,"(15, 180, 4)"
15,180,5,2.8808,1,0.0,"(15, 180, 5)"
15,180,6,2.8808,1,0.0,"(15, 180, 6)"
15,180,7,2.8808,1,0.0,"(15, 180, 7)"
15,180,8,0.7051,1,0.0,"(15, 180, 8)"
15,180,9,0.7051,1,0.0,"(15, 180, 9)"
15,180,10,0.7051,1,0.0,"(15, 180, 10)"
15,180,11,2.0148,1,0.0,"(15, 180, 11)"
15,180,12,2.0148,1,0.0,"(15, 180, 12)"
15,180,13,2.0148,1,0.0,"(15, 180, 13)"
30,60,0,,0,105.0,"(135, 60, 0)"
30,60,1,,0,105.0,"(135, 60, 1)"
30,60,2,,0,105.0,"(135, 60, 2)"
30,60,3,,0,105.00476179678711,"(135, 60, 2)"
30,60,4,,0,105.01904589168576,"(135, 60, 2)"
30,60,5,,0,105.04284840006957,"(135, 60, 2)"
30,60,6,,0,105.07616285342742,"(135, 60, 2)"
30,60,7,,0,105.11898020814318,"(135, 60, 2)"
30,60,8,,0,105.17128885774862,"(135, 60, 2)"
30,60,9,,0,105.23307464861035,"(135, 60, 2)"
30,60,10,,0,105.30432089900205,"(135, 60, 2)"
30,60,11,,0,105.38500842150178,"(135, 60, 2)"
30,60,12,,0,105.47511554864494,"(135, 60, 2)"
30,60,13,,0,105.57461816175325,"(135, 60, 2)"
30,75,0,,0,106.06601717798213,"(15, 180, 0)"
30,75,1,,0,106.06601717798213,"(15, 180, 1)"
30,75,2,,0,106.06601717798213,"(15, 180, 2)"
30,75,3,,0,106.06601717798213,"(15, 180, 3)"
30,75,4,,0,106.06601717798213,"(15, 180, 4)"
30,75,5,,0,106.06601717798213,"(15, 180, 5)"
30,75,6,,0,106.06601717798213,"(15, 180, 6)"
30,75,7,,0,106.06601717798213,"(15, 180, 7)"
30,75,8,,0,106.06601717798213,"(15, 180, 8)"
30,75,9,,0,106.06601717798213,"(15, 180, 9)"
30,75,10,,0,106.06601717798213,"(15, 180, 10)"
30,75,11,,0,106.06601717798213,"(15, 180, 11)"
30,75,12,,0,106.06601717798213,"(15, 180, 12)"
30,75,13,,0,106.06601717798213,"(15, 180, 13)"
30,90,0,,0,91.2414379544733,"(15, 180, 0)"
30,90,1,,0,91.2414379544733,"(15, 180, 1)"
30,90,2,,0,91.2414379544733,"(15, 180, 2)"
30,90,3,,0,91.2414379544733,"(15, 180, 3)"
30,90,4,,0,91.2414379544733,"(15, 180, 4)"
30,90,5,,0,91.2414379544733,"(15, 180, 5)"
30,90,6,,0,91.2414379544733,"(15, 180, 6)"
30,90,7,,0,91.2414379544733,"(15, 180, 7)"
30,90,8,,0,91.2414379544733,"(15, 180, 8)"
30,90,9,,0,91.2414379544733,"(15, 180, 9)"
30,90,10,,0,91.2414379544733,"(15, 180, 10)"
30,90,11,,0,91.2414379544733,"(15, 180, 11)"
